tweet_id,source,text,expanded_urls,rating_final,name,dog_stages,favorite_count,created_at,jpg_url,img_num,p1_conf,p2_conf,p3_conf,p1_dog,p2_dog,p3_dog,breed_name
891815181378084864,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,1.2,Archie,None,24087,2017-07-31 00:18:03+00:00,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1.0,0.596461,0.13858399999999998,0.116197,True,True,True,german shepherd
891689557279858688,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,1.3,Darla,None,40503,2017-07-30 15:58:51+00:00,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1.0,0.408143,0.360687,0.222752,True,True,True,rhodesian ridgeback
891327558926688256,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",1.2,Franklin,None,38726,2017-07-29 16:00:24+00:00,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1.0,0.560311,0.243682,0.154629,True,True,True,miniature pinscher
891087950875897856,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,1.3,Unknown Name,None,19471,2017-07-29 00:08:17+00:00,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1.0,0.651137,0.263788,0.0161992,True,True,True,bernese mountain dog
890240255349198849,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,1.4,Cassie,doggo,30680,2017-07-26 15:59:51+00:00,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1.0,0.201493,0.192305,0.08208610000000001,True,True,True,miniature poodle
890006608113172480,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",1.3,Koda,None,29514,2017-07-26 00:31:25+00:00,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,1.0,0.77593,0.0937178,0.07242660000000001,True,True,True,golden retriever
889880896479866881,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://twitter.com/dog_rates/status/889880896479866881/photo/1,1.3,Bruno,None,26769,2017-07-25 16:11:53+00:00,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1.0,0.503672,0.174201,0.109454,True,True,True,gordon setter
889665388333682689,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,https://twitter.com/dog_rates/status/889665388333682689/photo/1,1.3,Unknown Name,puppo,46220,2017-07-25 01:55:32+00:00,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,1.0,0.260857,0.17538199999999998,0.0974705,True,True,True,walker hound
889638837579907072,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",1.2,Ted,None,26052,2017-07-25 00:10:02+00:00,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,1.0,0.489814,0.404722,0.0489595,True,True,True,pug
889531135344209921,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,https://twitter.com/dog_rates/status/889531135344209921/photo/1,1.3,Stuart,puppo,14535,2017-07-24 17:02:04+00:00,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,1.0,0.195217,0.0782598,0.07562780000000001,True,True,True,bloodhound
